lang,topic,question,answer,keywords,audio_file
mr,placement_process,प्लेसमेंट प्रक्रिया कशी चालते?,"प्लेसमेंट प्रक्रियेत 6 पायऱ्या आहेत: प्रोफाइल बिल्डिंग (रिज्युमे/पोर्टफोलिओ), स्किल असेसमेंट, मॉक इंटरव्ह्यूसह इंटरव्ह्यू तयारी, पार्टनर कंपन्यांशी संपर्क, प्लेसमेंट ड्राईव्ह, आणि प्लेसमेंटनंतर करिअर ग्रोथ सपोर्ट.",!प्लेसमेंट प्रक्रिया|!प्लेसमेंट कसे होते|!प्लेसमेंट पायऱ्या,placement_process_mr.wav
en,why_choose,Why should I choose M CAD Solutions?,"M CAD Solutions offers 15+ years of industry expertise, job-oriented courses with placement support, project-based training, small batch sizes, lifetime access to session recordings, and a proven track record with a 98% placement rate.",!why choose mcad|!why mcad solutions|!benefits of mcad|!what makes mcad different,why_choose_en.wav
hi,why_choose,मुझे M CAD Solutions क्यों चुनना चाहिए?,"M CAD Solutions 15+ वर्षों का उद्योग अनुभव, प्लेसमेंट सपोर्ट के साथ नौकरी-उन्मुख कोर्स, प्रोजेक्ट-आधारित प्रशिक्षण, छोटे बैच साइज़, सेशन रिकॉर्डिंग तक लाइफटाइम एक्सेस, और 98% प्लेसमेंट दर के साथ सिद्ध ट्रैक रिकॉर्ड प्रदान करता है।",!mcad क्यों चुनें|!mcad के फायदे|!मैं क्यों जॉइन करूं,why_choose_hi.wav
mr,why_choose,मी M CAD Solutions का निवडावे?,"M CAD Solutions 15+ वर्षांचा उद्योग अनुभव, प्लेसमेंट सपोर्टसह नोकरी-केंद्रित कोर्सेस, प्रोजेक्ट-आधारित प्रशिक्षण, लहान बॅच साईझ, सेशन रेकॉर्डिंग्जना लाईफटाईम अ‍ॅक्सेस, आणि 98% प्लेसमेंट रेटसह सिद्ध ट्रॅक रेकॉर्ड देते.",!mcad का निवडावे|!mcad चे फायदे|!मी का जॉईन करू,why_choose_mr.wav
en,batch_size,What is the batch size for domain training courses?,"Domain training programs like BIW Fixture Design and Automotive Interior Plastic Trims have a small batch size of just 5 students per batch, ensuring personalized attention.",!batch size|!how many students per batch|!class size,batch_size_en.wav
hi,batch_size,डोमेन ट्रेनिंग कोर्स के लिए बैच साइज़ क्या है?,"BIW फिक्सचर डिज़ाइन और ऑटोमोटिव इंटीरियर प्लास्टिक ट्रिम्स जैसे डोमेन ट्रेनिंग प्रोग्राम में सिर्फ 5 छात्रों का बैच साइज़ होता है, जिससे व्यक्तिगत ध्यान सुनिश्चित होता है।",!बैच साइज़|!एक बैच में कितने छात्र|!क्लास साइज़,batch_size_hi.wav
mr,batch_size,डोमेन ट्रेनिंग कोर्सेससाठी बॅच साईझ किती आहे?,"BIW फिक्स्चर डिझाईन आणि ऑटोमोटिव्ह इंटीरियर प्लास्टिक ट्रिम्स सारख्या डोमेन ट्रेनिंग प्रोग्राम्समध्ये फक्त 5 विद्यार्थ्यांची बॅच साईझ असते, ज्यामुळे वैयक्तिक लक्ष दिले जाते.",!बॅच साईझ|!एका बॅचमध्ये किती विद्यार्थी|!क्लास साईझ,batch_size_mr.wav
en,certificate,Will I get a certificate after completing the course?,"Yes, M CAD Solutions provides an industry-recognized certificate of completion for all its CAD and domain training courses.",!will i get a certificate|!certificate of completion|!course certification,certificate_en.wav
hi,certificate,कोर्स पूरा करने के बाद क्या मुझे सर्टिफिकेट मिलेगा?,"हां, M CAD Solutions अपने सभी CAD और डोमेन ट्रेनिंग कोर्स के लिए इंडस्ट्री-मान्यता प्राप्त पूर्णता प्रमाणपत्र प्रदान करता है।",!सर्टिफिकेट मिलेगा क्या|!पूर्णता प्रमाणपत्र|!कोर्स सर्टिफिकेट,certificate_hi.wav
mr,certificate,कोर्स पूर्ण केल्यानंतर मला सर्टिफिकेट मिळेल का?,"होय, M CAD Solutions त्यांच्या सर्व CAD आणि डोमेन ट्रेनिंग कोर्सेससाठी इंडस्ट्री-मान्यताप्राप्त पूर्णता प्रमाणपत्र देते.",!सर्टिफिकेट मिळेल का|!पूर्णता प्रमाणपत्र|!कोर्स सर्टिफिकेट|!प्रमाणपत्र|!प्रमाणपत्र भेटेल|!सर्टिफिकेट भेटेल|!सर्टिफिकेट मान्यताप्राप्त,certificate_mr.wav
en,mode_of_training,Do you offer online classes or only classroom training?,"M CAD Solutions offers both online and classroom training modes, giving students flexibility to choose what suits them best.",!online classes|!classroom training|!online or offline|!mode of training,mode_of_training_en.wav
hi,mode_of_training,क्या आप ऑनलाइन क्लासेस देते हैं या सिर्फ क्लासरूम ट्रेनिंग?,"M CAD Solutions ऑनलाइन और क्लासरूम दोनों तरह की ट्रेनिंग प्रदान करता है, जिससे छात्रों को अपनी सुविधा अनुसार चुनने की स्वतंत्रता मिलती है।",!ऑनलाइन क्लास|!क्लासरूम ट्रेनिंग|!ऑनलाइन या ऑफलाइन,mode_of_training_hi.wav
mr,mode_of_training,तुम्ही ऑनलाइन क्लासेस देता की फक्त क्लासरूम ट्रेनिंग?,"M CAD Solutions ऑनलाइन आणि क्लासरूम अशा दोन्ही प्रकारच्या प्रशिक्षण पद्धती देते, ज्यामुळे विद्यार्थ्यांना त्यांच्या सोयीनुसार निवड करण्याचे स्वातंत्र्य मिळते.",!ऑनलाइन क्लासेस|!क्लासरूम ट्रेनिंग|!ऑनलाइन की ऑफलाइन|!ऑनलाइन बॅच|!ऑफलाईन की ऑनलाईन|!ऑनलाइन क्लास|!ऑफलाइन क्लास,mode_of_training_mr.wav
en,contact_form,How can I enroll or book a free demo?,"You can enroll by visiting the Contact page on our website, filling in your details, or calling us at +91 7030999500. You can also book a free demo session before joining any course.",!how to enroll|!book a free demo|!how to join|!admission process|!how to apply,contact_form_en.wav
hi,contact_form,मैं कोर्स में कैसे एनरोल करूं या फ्री डेमो कैसे बुक करूं?,आप हमारी वेबसाइट के कॉन्टैक्ट पेज पर जाकर अपनी जानकारी भरकर या +91 7030999500 पर कॉल करके एनरोल कर सकते हैं। किसी भी कोर्स में शामिल होने से पहले आप फ्री डेमो सेशन भी बुक कर सकते हैं।,!कैसे एनरोल करें|!फ्री डेमो बुक करें|!कैसे जॉइन करें|!एडमिशन प्रक्रिया,contact_form_hi.wav
mr,contact_form,मी कोर्समध्ये कसे एनरोल होऊ किंवा फ्री डेमो कसा बुक करू?,तुम्ही आमच्या वेबसाईटवरील कॉन्टॅक्ट पेजवर जाऊन तुमची माहिती भरून किंवा +91 7030999500 वर कॉल करून एनरोल करू शकता. कोणत्याही कोर्समध्ये सामील होण्यापूर्वी तुम्ही फ्री डेमो सेशनही बुक करू शकता.,!कसे एनरोल व्हावे|!फ्री डेमो बुक करा|!कसे जॉईन व्हावे|!अ‍ॅडमिशन प्रक्रिया,contact_form_mr.wav
